LAT,LON,Name,
33,66,Afghanistan,
41,20,Albania,
28,3,Algeria,
-14.3333333,-170,American Samoa,
42.5,1.5,Andorra,
-12.5,18.5,Angola,
18.216667,-63.05,Anguilla,
17.05,-61.8,Antigua and Barbuda,
-34,-64,Argentina,
40,45,Armenia,
12.5,-69.966667,Aruba,
-15.95,-5.7,Ascension,
-12.416667,123.333333,Ashmore and Cartier Islands,
-25,135,Australia,
47.333333,13.333333,Austria,
40.5,47.5,Azerbaijan,
24,-76,Bahamas,
26,50.5,Bahrain,
24,90,Bangladesh,
13.166667,-59.533333,Barbados,
-21.416667,39.7,Bassas da India,
53,28,Belarus,
50.833333,4,Belgium,
17.25,-88.75,Belize,
9.5,2.25,Benin,
32.333333,-64.75,Bermuda,
27.5,90.5,Bhutan,
-17,-65,Bolivia,
12.2,-68.25,Bonaire,
44.25,17.833333,Bosnia and Herzegovina,
-22,24,Botswana,
-54.433333,3.4,Bouvet Island,
-10,-55,Brazil,
-6,72,British Indian Ocean Territory,
18.5,-64.5,British Virgin Islands,
4.5,114.666667,Brunei,
43,25,Bulgaria,
13,-2,Burkina Faso,
22,98,Burma,
-3.5,30,Burundi,
13,105,Cambodia,
6,12,Cameroon,
60,-96,Canada,
16,-24,Cape Verde,
19.5,-80.666667,Cayman Islands,
7,21,Central African Republic,
15,19,Chad,
-30,-71,Chile,
35,105,China,
-10.5,105.666667,Christmas Island,
10.283333,-109.216667,Clipperton Island,
-12,96.833333,Cocos (Keeling) Islands,
4,-72,Colombia,
-12.166667,44.25,Comoros,
-16.083333,-161.583333,Cook Islands,
-17.5,151,Coral Sea Islands,
10,-84,Costa Rica,
8,-5,Cote d'Ivoire,
45.166667,15.5,Croatia,
22,-79.5,Cuba,
12.166667,-69,Curaí_ao,
35,33,Cyprus,
49.75,15,Czech Republic,
0,25,Democratic Republic of the Congo,
56,10,Denmark,
11.5,42.5,Djibouti,
15.5,-61.333333,Dominica,
19,-70.666667,Dominican Republic,
-2,-77.5,Ecuador,
27,30,Egypt,
13.833333,-88.916667,El Salvador,
2,10,Equatorial Guinea,
15,39,Eritrea,
59,26,Estonia,
8,38,Ethiopia,
-22.333333,40.366667,Europa Island,
-51.75,-59.166667,Falkland Islands,
62,-7,Faroe Islands,
5,152,Federated States of Micronesia,
-18,178,Fiji,
64,26,Finland,
46,2,France,
4,-53,French Guiana,
-15,-140,French Polynesia,
-43,67,French Southern and Antarctic Lands,
-1,11.75,Gabon,
13.5,-15.5,Gambia,
31.425074,34.373398,Gaza Strip,
41.999981,43.499905,Georgia,
51.5,10.5,Germany,
8,-2,Ghana,
36.133333,-5.35,Gibraltar,
-11.5,47.333333,Glorioso Islands,
39,22,Greece,
72,-40,Greenland,
12.116667,-61.666667,Grenada,
16.25,-61.583333,Guadeloupe,
13.4444444,144.7366667,Guam,
15.5,-90.25,Guatemala,
49.583333,-2.333333,Guernsey,
11,-10,Guinea,
12,-15,Guinea-Bissau,
5,-59,Guyana,
19,-72.416667,Haiti,
-53,73,Heard Island and McDonald Islands,
15,-86.5,Honduras,
22.25,114.166667,Hong Kong,
47,20,Hungary,
65,-18,Iceland,
20,77,India,
-5,120,Indonesia,
32,53,Iran,
33,44,Iraq,
53,-8,Ireland,
54.25,-4.5,Isle of Man,
31.5,34.75,Israel,
42.833333,12.833333,Italy,
18.25,-77.5,Jamaica,
36,138,Japan,
49.216667,-2.116667,Jersey,
31,36,Jordan,
-17.05833,42.71667,Juan de Nova Island,
48,68,Kazakhstan,
1,38,Kenya,
-5,-170,Kiribati,
42.583333,21,Kosovo,
29.5,47.75,Kuwait,
41,75,Kyrgyzstan,
18,105,Laos,
57,25,Latvia,
33.833333,35.833333,Lebanon,
-29.5,28.25,Lesotho,
6.5,-9.5,Liberia,
25,17,Libya,
47.166667,9.533333,Liechtenstein,
56,24,Lithuania,
49.75,6.166667,Luxembourg,
22.157778,113.559722,Macau,
41.833333,22,Macedonia,
-20,47,Madagascar,
-13.5,34,Malawi,
2.5,112.5,Malaysia,
3.2,73,Maldives,
17,-4,Mali,
35.916667,14.433333,Malta,
10,167,Marshall Islands,
14.666667,-61,Martinique,
20,-12,Mauritania,
-20.3,57.583333,Mauritius,
-12.833333,45.166667,Mayotte,
23,-102,Mexico,
47,29,Moldova,
43.733333,7.4,Monaco,
46,105,Mongolia,
42.5,19.3,Montenegro,
16.75,-62.2,Montserrat,
32,-5,Morocco,
-18.25,35,Mozambique,
-22,17,Namibia,
-0.533333,166.916667,Nauru,
28,84,Nepal,
52.5,5.75,Netherlands,
-21.5,165.5,New Caledonia,
-42,174,New Zealand,
13,-85,Nicaragua,
16,8,Niger,
10,8,Nigeria,
-19.033333,-169.866667,Niue,
-29.033333,167.95,Norfolk Island,
40,127,North Korea,
16,146,Northern Mariana Islands,
62,10,Norway,
21,57,Oman,
30,70,Pakistan,
6,134,Palau,
9,-80,Panama,
-6,147,Papua New Guinea,
-22.993333,-57.996389,Paraguay,
-10,-76,Peru,
13,122,Philippines,
