Postal,Name,medIncome
US,United States,50046
AL,Alabama,40538
AL,Autauga County,53049
AL,Baldwin County,47618
AL,Barbour County,33074
AL,Bibb County,35472
AL,Blount County,42906
AL,Bullock County,25969
AL,Butler County,29500
AL,Calhoun County,37916
AL,Chambers County,30061
AL,Cherokee County,34410
AL,Chilton County,38553
AL,Choctaw County,32003
AL,Clarke County,33739
AL,Clay County,33035
AL,Cleburne County,37566
AL,Coffee County,40779
AL,Colbert County,37455
AL,Conecuh County,27855
AL,Coosa County,33721
AL,Covington County,33484
AL,Crenshaw County,35577
AL,Cullman County,37948
AL,Dale County,41287
AL,Dallas County,26195
AL,DeKalb County,34822
AL,Elmore County,51013
AL,Escambia County,31365
AL,Etowah County,36088
AL,Fayette County,32643
AL,Franklin County,33649
AL,Geneva County,34418
AL,Greene County,27117
AL,Hale County,31790
AL,Henry County,37851
AL,Houston County,39290
AL,Jackson County,36158
AL,Jefferson County,41740
AL,Lamar County,32993
AL,Lauderdale County,39213
AL,Lawrence County,37365
AL,Lee County,40102
AL,Limestone County,49667
AL,Lowndes County,28754
AL,Macon County,27041
AL,Madison County,54633
AL,Marengo County,33085
AL,Marion County,32080
AL,Marshall County,38859
AL,Mobile County,39753
AL,Monroe County,31744
AL,Montgomery County,41556
AL,Morgan County,44859
AL,Perry County,24742
AL,Pickens County,31032
AL,Pike County,32771
AL,Randolph County,32584
AL,Russell County,32733
AL,St. Clair County,48296
AL,Shelby County,67135
AL,Sumter County,25586
AL,Talladega County,35646
AL,Tallapoosa County,34440
AL,Tuscaloosa County,43098
AL,Walker County,36044
AL,Washington County,37639
AL,Wilcox County,21611
AL,Winston County,32574
AK,Alaska,63456
AK,Aleutians East Borough,47077
AK,Aleutians West Census Area,58517
AK,Anchorage Borough,70524
AK,Bethel Census Area,45481
AK,Bristol Bay Borough,62912
AK,Denali Borough,61004
AK,Dillingham Census Area,46845
AK,Fairbanks North Star Borough,60472
AK,Haines Borough,46111
AK,Hoonah-Angoon Census Area,38122
AK,Juneau Borough,69844
AK,Kenai Peninsula Borough,57347
AK,Ketchikan Gateway Borough,58073
AK,Kodiak Island Borough,59847
AK,Lake and Peninsula Borough,39794
AK,Matanuska-Susitna Borough,68670
AK,Nome Census Area,43147
AK,North Slope Borough,68744
AK,Northwest Arctic Borough,49466
AK,Petersburg Census Area,52294
AK,Prince of Wales-Hyder Census Area,40756
AK,Sitka Borough,58000
AK,Skagway Municipality,58550
AK,Southeast Fairbanks Census Area,54508
AK,Valdez-Cordova Census Area,60297
AK,Wade Hampton Census Area,30883
AK,Wrangell City and Borough,42752
AK,Yakutat Borough,49331
AK,Yukon-Koyukuk Census Area,35177
AZ,Arizona,46787
AZ,Apache County,30651
AZ,Cochise County,43677
AZ,Coconino County,43051
AZ,Gila County,37430
AZ,Graham County,39299
AZ,Greenlee County,49592
AZ,La Paz County,33818
AZ,Maricopa County,50424
AZ,Mohave County,36446
AZ,Navajo County,37723
AZ,Pima County,44293
AZ,Pinal County,49833
AZ,Santa Cruz County,33952
AZ,Yavapai County,40562
AZ,Yuma County,40609
AR,Arkansas,38413
AR,Arkansas County,38129
AR,Ashley County,37042
AR,Baxter County,34421
AR,Benton County,52417
AR,Boone County,35532
