id,County,pop2014
1001,"Autauga County, Alabama",55395
1003,"Baldwin County, Alabama",200111
1005,"Barbour County, Alabama",26887
1007,"Bibb County, Alabama",22506
1009,"Blount County, Alabama",57719
1011,"Bullock County, Alabama",10764
1013,"Butler County, Alabama",20296
1015,"Calhoun County, Alabama",115916
1017,"Chambers County, Alabama",34076
1019,"Cherokee County, Alabama",26037
1021,"Chilton County, Alabama",43931
1023,"Choctaw County, Alabama",13323
1025,"Clarke County, Alabama",24945
1027,"Clay County, Alabama",13552
1029,"Cleburne County, Alabama",15080
1031,"Coffee County, Alabama",50909
1033,"Colbert County, Alabama",54543
1035,"Conecuh County, Alabama",12670
1037,"Coosa County, Alabama",10886
1039,"Covington County, Alabama",37914
1041,"Crenshaw County, Alabama",13977
1043,"Cullman County, Alabama",81289
1045,"Dale County, Alabama",49484
1047,"Dallas County, Alabama",41711
1049,"DeKalb County, Alabama",71065
1051,"Elmore County, Alabama",80977
1053,"Escambia County, Alabama",37733
1055,"Etowah County, Alabama",103531
1057,"Fayette County, Alabama",16874
1059,"Franklin County, Alabama",31601
1061,"Geneva County, Alabama",26712
1063,"Greene County, Alabama",8553
1065,"Hale County, Alabama",15184
1067,"Henry County, Alabama",17190
1069,"Houston County, Alabama",104193
1071,"Jackson County, Alabama",52665
1073,"Jefferson County, Alabama",660793
1075,"Lamar County, Alabama",14086
1077,"Lauderdale County, Alabama",93096
1079,"Lawrence County, Alabama",33477
1081,"Lee County, Alabama",154255
1083,"Limestone County, Alabama",90787
1085,"Lowndes County, Alabama",10580
1087,"Macon County, Alabama",19425
1089,"Madison County, Alabama",350299
1091,"Marengo County, Alabama",20110
1093,"Marion County, Alabama",30271
1095,"Marshall County, Alabama",94636
1097,"Mobile County, Alabama",415123
1099,"Monroe County, Alabama",21947
1101,"Montgomery County, Alabama",226189
1103,"Morgan County, Alabama",119607
1105,"Perry County, Alabama",9826
1107,"Pickens County, Alabama",20365
1109,"Pike County, Alabama",33389
1111,"Randolph County, Alabama",22539
1113,"Russell County, Alabama",59608
1115,"St. Clair County, Alabama",86697
1117,"Shelby County, Alabama",206655
1119,"Sumter County, Alabama",13166
1121,"Talladega County, Alabama",81322
1123,"Tallapoosa County, Alabama",41165
1125,"Tuscaloosa County, Alabama",202212
1127,"Walker County, Alabama",65471
1129,"Washington County, Alabama",16834
1131,"Wilcox County, Alabama",11098
1133,"Winston County, Alabama",24150
2013,"Aleutians East Borough, Alaska",3360
2016,"Aleutians West Census Area, Alaska",5750
2020,"Anchorage Municipality, Alaska",301010
2050,"Bethel Census Area, Alaska",17868
2060,"Bristol Bay Borough, Alaska",957
2068,"Denali Borough, Alaska",1921
2070,"Dillingham Census Area, Alaska",4988
2090,"Fairbanks North Star Borough, Alaska",99357
2100,"Haines Borough, Alaska",2566
2105,"Hoonah-Angoon Census Area, Alaska",2082
2110,"Juneau City and Borough, Alaska",32406
2122,"Kenai Peninsula Borough, Alaska",57477
2130,"Ketchikan Gateway Borough, Alaska",13787
2150,"Kodiak Island Borough, Alaska",13986
2164,"Lake and Peninsula Borough, Alaska",1631
2170,"Matanuska-Susitna Borough, Alaska",97882
2180,"Nome Census Area, Alaska",9817
2185,"North Slope Borough, Alaska",9703
2188,"Northwest Arctic Borough, Alaska",7717
2195,"Petersburg Census Area, Alaska",3160
2198,"Prince of Wales-Hyder Census Area, Alaska",6396
2220,"Sitka City and Borough, Alaska",8900
2230,"Skagway Municipality, Alaska",1036
2240,"Southeast Fairbanks Census Area, Alaska",6931
2261,"Valdez-Cordova Census Area, Alaska",9488
2270,"Wade Hampton Census Area, Alaska",8010
2275,"Wrangell City and Borough, Alaska",2364
2282,"Yakutat City and Borough, Alaska",635
2290,"Yukon-Koyukuk Census Area, Alaska",5547
4001,"Apache County, Arizona",71828
4003,"Cochise County, Arizona",127448
4005,"Coconino County, Arizona",137682
4007,"Gila County, Arizona",53119
4009,"Graham County, Arizona",37957
4011,"Greenlee County, Arizona",9346
4012,"La Paz County, Arizona",20231
4013,"Maricopa County, Arizona",4087191
4015,"Mohave County, Arizona",203361
4017,"Navajo County, Arizona",108101
4019,"Pima County, Arizona",1004516
4021,"Pinal County, Arizona",401918
4023,"Santa Cruz County, Arizona",46695
4025,"Yavapai County, Arizona",218844
4027,"Yuma County, Arizona",203247
5001,"Arkansas County, Arkansas",18594
5003,"Ashley County, Arkansas",20948
5005,"Baxter County, Arkansas",40857
5007,"Benton County, Arkansas",242321
5009,"Boone County, Arkansas",37196
5011,"Bradley County, Arkansas",11148
5013,"Calhoun County, Arkansas",5202
5015,"Carroll County, Arkansas",27744
5017,"Chicot County, Arkansas",11180
5019,"Clark County, Arkansas",22576
5021,"Clay County, Arkansas",15118
5023,"Cleburne County, Arkansas",25634
5025,"Cleveland County, Arkansas",8449
5027,"Columbia County, Arkansas",23933
5029,"Conway County, Arkansas",21083
5031,"Craighead County, Arkansas",102518
5033,"Crawford County, Arkansas",61697
5035,"Crittenden County, Arkansas",49548
5037,"Cross County, Arkansas",17227
5039,"Dallas County, Arkansas",7755
5041,"Desha County, Arkansas",12264
5043,"Drew County, Arkansas",18622
5045,"Faulkner County, Arkansas",120768
5047,"Franklin County, Arkansas",17805
5049,"Fulton County, Arkansas",12125
5051,"Garland County, Arkansas",97322
5053,"Grant County, Arkansas",18144
5055,"Greene County, Arkansas",43694
5057,"Hempstead County, Arkansas",22327
5059,"Hot Spring County, Arkansas",33368
5061,"Howard County, Arkansas",13500
5063,"Independence County, Arkansas",36959
5065,"Izard County, Arkansas",13486
5067,"Jackson County, Arkansas",17534
5069,"Jefferson County, Arkansas",72297
5071,"Johnson County, Arkansas",26005
5073,"Lafayette County, Arkansas",7111
5075,"Lawrence County, Arkansas",16931
5077,"Lee County, Arkansas",9860
5079,"Lincoln County, Arkansas",13970
5081,"Little River County, Arkansas",12532
5083,"Logan County, Arkansas",21958
5085,"Lonoke County, Arkansas",71557
5087,"Madison County, Arkansas",15740
5089,"Marion County, Arkansas",16367
5091,"Miller County, Arkansas",43428
5093,"Mississippi County, Arkansas",44235
5095,"Monroe County, Arkansas",7582
5097,"Montgomery County, Arkansas",9082
5099,"Nevada County, Arkansas",8723
5101,"Newton County, Arkansas",7904
5103,"Ouachita County, Arkansas",24828
5105,"Perry County, Arkansas",10245
5107,"Phillips County, Arkansas",19930
5109,"Pike County, Arkansas",11024
5111,"Poinsett County, Arkansas",24246
5113,"Polk County, Arkansas",20225
5115,"Pope County, Arkansas",63201
5117,"Prairie County, Arkansas",8304
5119,"Pulaski County, Arkansas",392702
5121,"Randolph County, Arkansas",17571
5123,"St. Francis County, Arkansas",26899
5125,"Saline County, Arkansas",115719
5127,"Scott County, Arkansas",10693
5129,"Searcy County, Arkansas",7929
5131,"Sebastian County, Arkansas",126776
5133,"Sevier County, Arkansas",17426
5135,"Sharp County, Arkansas",16906
5137,"Stone County, Arkansas",12494
5139,"Union County, Arkansas",40227
5141,"Van Buren County, Arkansas",16851
5143,"Washington County, Arkansas",220792
5145,"White County, Arkansas",78592
5147,"Woodruff County, Arkansas",6910
5149,"Yell County, Arkansas",21951
6001,"Alameda County, California",1610921
6003,"Alpine County, California",1116
6005,"Amador County, California",36742
6007,"Butte County, California",224241
6009,"Calaveras County, California",44624
6011,"Colusa County, California",21419
6013,"Contra Costa County, California",1111339
6015,"Del Norte County, California",27212
6017,"El Dorado County, California",183087
6019,"Fresno County, California",965974
6021,"Glenn County, California",27955
6023,"Humboldt County, California",134809
6025,"Imperial County, California",179091
6027,"Inyo County, California",18410
6029,"Kern County, California",874589
6031,"Kings County, California",150269
6033,"Lake County, California",64184
6035,"Lassen County, California",31749
6037,"Los Angeles County, California",10116705
6039,"Madera County, California",154548
6041,"Marin County, California",260750
6043,"Mariposa County, California",17682
6045,"Mendocino County, California",87869
6047,"Merced County, California",266353
6049,"Modoc County, California",9023
6051,"Mono County, California",13997
6053,"Monterey County, California",431344
6055,"Napa County, California",141667
6057,"Nevada County, California",98893
6059,"Orange County, California",3145515
6061,"Placer County, California",371694
6063,"Plumas County, California",18606
6065,"Riverside County, California",2329271
6067,"Sacramento County, California",1482026
6069,"San Benito County, California",58267
6071,"San Bernardino County, California",2112619
6073,"San Diego County, California",3263431
6075,"San Francisco County, California",852469
6077,"San Joaquin County, California",715597
6079,"San Luis Obispo County, California",279083
6081,"San Mateo County, California",758581
6083,"Santa Barbara County, California",440668
6085,"Santa Clara County, California",1894605
6087,"Santa Cruz County, California",271804
6089,"Shasta County, California",179804
6091,"Sierra County, California",3003
6093,"Siskiyou County, California",43628
6095,"Solano County, California",431131
6097,"Sonoma County, California",500292
6099,"Stanislaus County, California",531997
6101,"Sutter County, California",95847
6103,"Tehama County, California",63067
6105,"Trinity County, California",13170
6107,"Tulare County, California",458198
6109,"Tuolumne County, California",53831
6111,"Ventura County, California",846178
6113,"Yolo County, California",207590
6115,"Yuba County, California",73966
8001,"Adams County, Colorado",480718
8003,"Alamosa County, Colorado",16177
8005,"Arapahoe County, Colorado",618821
8007,"Archuleta County, Colorado",12244
8009,"Baca County, Colorado",3645
8011,"Bent County, Colorado",5630
8013,"Boulder County, Colorado",313333
8014,"Broomfield County, Colorado",62138
8015,"Chaffee County, Colorado",18363
8017,"Cheyenne County, Colorado",1871
8019,"Clear Creek County, Colorado",9187
8021,"Conejos County, Colorado",8265
8023,"Costilla County, Colorado",3568
8025,"Crowley County, Colorado",5360
8027,"Custer County, Colorado",4361
8029,"Delta County, Colorado",29870
8031,"Denver County, Colorado",663862
8033,"Dolores County, Colorado",1978
8035,"Douglas County, Colorado",314638
8037,"Eagle County, Colorado",52921
8039,"Elbert County, Colorado",24195
8041,"El Paso County, Colorado",663519
8043,"Fremont County, Colorado",46502
8045,"Garfield County, Colorado",57461
8047,"Gilpin County, Colorado",5851
8049,"Grand County, Colorado",14546
8051,"Gunnison County, Colorado",15725
8053,"Hinsdale County, Colorado",786
8055,"Huerfano County, Colorado",6462
8057,"Jackson County, Colorado",1396
8059,"Jefferson County, Colorado",558503
8061,"Kiowa County, Colorado",1402
8063,"Kit Carson County, Colorado",8072
8065,"Lake County, Colorado",7357
8067,"La Plata County, Colorado",53989
8069,"Larimer County, Colorado",324122
8071,"Las Animas County, Colorado",14052
8073,"Lincoln County, Colorado",5510
8075,"Logan County, Colorado",22524
8077,"Mesa County, Colorado",148255
8079,"Mineral County, Colorado",698
8081,"Moffat County, Colorado",12928
8083,"Montezuma County, Colorado",25772
8085,"Montrose County, Colorado",40873
8087,"Morgan County, Colorado",28328
8089,"Otero County, Colorado",18488
8091,"Ouray County, Colorado",4629
8093,"Park County, Colorado",16345
8095,"Phillips County, Colorado",4363
8097,"Pitkin County, Colorado",17626
8099,"Prowers County, Colorado",12034
8101,"Pueblo County, Colorado",161875
8103,"Rio Blanco County, Colorado",6707
8105,"Rio Grande County, Colorado",11607
8107,"Routt County, Colorado",23865
8109,"Saguache County, Colorado",6196
8111,"San Juan County, Colorado",720
8113,"San Miguel County, Colorado",7840
8115,"Sedgwick County, Colorado",2348
8117,"Summit County, Colorado",29404
8119,"Teller County, Colorado",23389
8121,"Washington County, Colorado",4780
8123,"Weld County, Colorado",277670
8125,"Yuma County, Colorado",10202
9001,"Fairfield County, Connecticut",945438
9003,"Hartford County, Connecticut",897985
9005,"Litchfield County, Connecticut",184993
9007,"Middlesex County, Connecticut",164943
9009,"New Haven County, Connecticut",861277
9011,"New London County, Connecticut",273676
9013,"Tolland County, Connecticut",151367
9015,"Windham County, Connecticut",116998
10001,"Kent County, Delaware",171987
10003,"New Castle County, Delaware",552778
10005,"Sussex County, Delaware",210849
11001,"District of Columbia, District of Columbia",658893
12001,"Alachua County, Florida",256380
12003,"Baker County, Florida",27093
12005,"Bay County, Florida",178985
12007,"Bradford County, Florida",26702
12009,"Brevard County, Florida",556885
12011,"Broward County, Florida",1869235
12013,"Calhoun County, Florida",14532
12015,"Charlotte County, Florida",168474
