"lon"	"lat"	"depth"	"mag"	"ids"
"1"	-151.396	61.6192	76.1	1.5	"ak11541214"
"2"	-120.018	39.3574	2.2949	0.24	"nn00489779"
"3"	-149.716	64.5936	2.1	0.9	"ak11550009"
"4"	-119.053	38.2318	11.0515	1.2	"nn00489770"
"5"	-122.82	38.8167	3.22	0.83	"nc72428796"
"6"	-116.58	33.4647	10.19	2.04	"ci37359712"
"7"	-147.267	63.4441	102.3	1.2	"ak11546853"
"8"	-116.345	33.5107	14.1	1.65	"ci37359704"
"9"	-153.206	59.8991	110	3.8	"ak11549998"
"10"	-122.375	46.4748	21.82	0.52	"uw60993491"
"11"	-116.624	33.5915	16.18	0.46	"ci37359696"
"12"	-117.342	36.9717	1.58	0.35	"nn00488071"
"13"	-122.819	38.8165	3.93	0.44	"nc72428786"
"14"	-145.394	63.3555	3.8	1.5	"ak11539935"
"15"	-149.59	62.8764	61.6	0.9	"ak11546820"
"16"	-117.503	34.2557	13.2	1.11	"ci37359688"
"17"	-149.998	64.1877	2.2	1.4	"ak11549976"
"18"	-119.635	41.8496	8.2982	0.91	"nn00489768"
"19"	-147.926	64.4539	2.6	0.7	"ak11539334"
"20"	-149.722	66.2919	17.2	1	"ak11539322"
"21"	-148.186	65.3395	11.8	0.3	"ak11534943"
"22"	-150.1	61.646	51.7	1.5	"ak11549974"
"23"	-149.082	65.1457	9.4	2.4	"ak11539194"
"24"	-119.139	39.1971	11.7735	0.81	"nn00489273"
"25"	-117.479	33.9497	1.1	1.44	"ci37359680"
"26"	-148.259	64.8133	13.2	0.8	"ak11534284"
"27"	-148.946	62.6973	64.8	0.9	"ak11545557"
"28"	-116.572	33.4713	9.24	0.87	"ci37359672"
"29"	-146.879	61.1328	0	1.4	"ak11533845"
"30"	-151.267	63.4066	3.6	1	"ak11545162"
"31"	-115.618	37.571	5	0.84	"nn00488283"
"32"	-119.556	41.8893	3.9244	1.29	"nn00489767"
"33"	-149.346	63.6276	77	1.3	"ak11549973"
"34"	-148.872	62.2862	47	1	"ak11549971"
"35"	-87.8012	34.5167	10.19	1.95	"se60006908"
"36"	-149.423	62.1427	50.8	1.2	"ak11532900"
"37"	-149.802	61.7649	43	1.4	"ak11545050"
"38"	-155.426	19.7688	25.9	1.8	"hv60885711"
"39"	-120.243	36.0407	13.12	1.84	"nc72428776"
"40"	-148.719	63.9866	0	1.1	"ak11544496"
"41"	-120.012	39.3567	0.49	1.76	"nc72428771"
"42"	-155.611	20.0618	35.4	2.2	"hv60880351"
"43"	-146.342	64.3986	9.4	0.8	"ak11537521"
"44"	-149.676	62.0991	50.1	1.2	"ak11545650"
"45"	-152.964	63.885	7.4	1.1	"ak11537558"
"46"	-143.36	62.7473	10.3	0.9	"ak11549847"
"47"	-117.402	34.1753	10.27	0.59	"ci37359656"
"48"	-151.59	63.6733	19	0.9	"ak11532160"
"49"	-115.853	36.8583	8.6	0.35	"nn00489759"
"50"	-151.01	63.5554	13.3	0.9	"ak11531138"
"51"	-116.381	37.0348	14.46	0.71	"nn00488054"
"52"	-97.8245	36.7062	3.93	3	"us2000259t"
"53"	-150.182	62.1546	54.9	1.1	"ak11536311"
"54"	-146.485	61.5352	17.9	2	"ak11549941"
"55"	-149.187	64.953	13.8	1	"ak11549938"
"56"	-115.312	36.786	7	1.07	"nn00489752"
"57"	-112.043	46.2328	9.3	2.1	"mb15751490"
"58"	-122.751	38.7912	0.87	0.85	"nc72428751"
"59"	-150.534	62.0576	6.6	1.8	"ak11549924"
"60"	-150.808	63.537	9.4	1	"ak11549923"
"61"	-116.669	33.5838	8.8	0.1	"ci37359648"
"62"	-121.981	37.7972	9.34	1.21	"nc72428736"
"63"	-155.617	19.4413	2.5	2	"hv60890621"
"64"	-116.715	33.6513	17.82	0.69	"ci37359624"
"65"	-116.71	33.6527	16.02	0.48	"ci37359616"
"66"	-121.271	36.6458	5.58	0.52	"nc72428731"
"67"	-116.571	33.4752	10.32	0.93	"ci37359608"
"68"	-155.387	19.2937	3.2	1.2	"hv60873196"
"69"	-122.763	38.8215	2.6	0.77	"nc72412110"
"70"	-118.637	35.4052	8.34	0.81	"ci37359584"
"71"	-155.393	19.2962	3.4	2.4	"hv60872711"
"72"	-116.024	33.9347	1.95	1.19	"ci37359560"
"73"	-118.881	37.643	1.88	0.46	"nc72428711"
"74"	-118.886	37.639	1.73	0.55	"nc72428706"
"75"	-148.353	64.7971	13.7	0.6	"ak11528631"
"76"	-151.041	61.9329	66.5	1.5	"ak11528562"
"77"	-97.4381	35.8488	4.48	2.5	"us2000257p"
"78"	-122.893	38.791	4.81	0.7	"nc72428701"
"79"	-118.485	37.4522	4.63	0.49	"nc72428696"
"80"	-136.828	58.4047	18.9	2	"ak11530728"
"81"	-150.767	63.2424	124.9	1.5	"ak11530568"
"82"	-147.815	63.5466	67.9	0.8	"ak11548140"
"83"	-121.066	36.5453	9.75	1.03	"nc72428691"
"84"	-120.024	39.3583	4.1998	1.17	"nn00489746"
"85"	-148.03	65.9958	31.3	2.9	"ak11533273"
"86"	-120.025	39.3591	5.1291	1.14	"nn00489743"
"87"	-150.765	62.8925	103	1.3	"ak11549805"
"88"	-122.802	38.8097	2.06	0.84	"nc72428676"
"89"	-119.646	41.8496	7.5572	1.42	"nn00489747"
"90"	-151.639	65.3591	12.1	1.8	"ak11527655"
"91"	-146.528	60.4568	10	2.5	"ak11543516"
"92"	-150.729	63.2508	129.5	1.3	"ak11529010"
"93"	-142.392	65.8397	2.5	1.1	"ak11537612"
"94"	-147.814	63.2111	15.3	0.3	"ak11543513"
"95"	-151.632	61.0184	76.7	1.2	"ak11543395"
"96"	-155.352	19.238	31.6	1.6	"hv60884691"
"97"	-151.866	61.8643	114.7	3	"ak11526164"
"98"	-121.952	46.7658	4.7	0.41	"uw60970767"
"99"	-122.81	38.8113	4.49	0.89	"nc72408805"
"100"	-149.641	63.5909	122.2	1.4	"ak11526158"
"101"	-151.006	62.9696	83.9	1.2	"ak11549774"
"102"	-148.479	63.8366	98.7	1.7	"ak11549762"
"103"	-148.998	65.1917	10.5	0.6	"ak11526475"
"104"	-117.679	35.0373	0.01	1.7	"ci37359512"
"105"	-119.664	41.852	7.4955	1.14	"nn00489742"
"106"	-116.672	33.9822	16.25	1.13	"ci37359504"
"107"	-119.634	41.8708	8.9874	1.57	"nn00486763"
"108"	-121.95	37.9138	0.02	1.19	"nc72428576"
"109"	-153.564	60.334	191.6	2.6	"ak11549443"
"110"	-111.011	44.4157	5.34	0.95	"uu60106862"
"111"	-116.448	33.4625	7.39	0.59	"ci37359296"
"112"	-116.582	33.467	9.51	1.62	"ci37359280"
"113"	-122.78	38.8247	2.11	0.24	"nc72428566"
"114"	-111.005	44.43	8.08	1.01	"uu60106837"
"115"	-122.801	38.8343	2.34	0.89	"nc72428546"
"116"	-121.931	46.789	6.21	0.84	"uw60996006"
"117"	-122.756	38.7797	1.71	0.98	"nc72428541"
"118"	-149.116	64.9484	15.3	2.5	"ak11549201"
"119"	-149.212	64.9585	12.8	1.2	"ak11549200"
"120"	-116.065	33.018	0.01	1.3	"ci37359240"
"121"	-117.66	35.7093	10.99	0.81	"ci37359232"
"122"	-122.817	38.8183	2.79	0.32	"nc72428531"
"123"	-148.318	62.4868	50.2	0.7	"ak11549195"
"124"	-122.799	38.8368	2.65	1.15	"nc72428526"
"125"	-150.718	63.1164	120.2	3.7	"ak11549150"
"126"	-118.943	37.6247	8.91	0.18	"nc72428521"
"127"	-116.09	32.8072	10.02	1.11	"ci37359168"
"128"	-120.364	36.221	9.09	1.36	"nc72428506"
"129"	-123.774	42.0137	37.37	2.14	"uw60995901"
"130"	-117.489	33.809	2.31	1.08	"ci37359160"
"131"	-122.721	38.7595	2.48	1.01	"nc72428496"
"132"	-116.571	33.4748	8.75	0.73	"ci37359152"
"133"	-119.623	41.8218	2.2897	1.36	"nn00489695"
"134"	-116.005	37.7419	12.3132	1.36	"nn00489691"
"135"	-122.893	38.7895	5.12	0.93	"nc72428481"
"136"	-119.654	41.8511	7.5935	1.73	"nn00489685"
"137"	-149.033	64.7062	7	0.8	"ak11549106"
"138"	-119.654	41.8471	7.3623	1.4	"nn00489693"
"139"	-119.651	41.8474	7.8185	2.01	"nn00489692"
"140"	-116.82	33.7172	17.18	0.9	"ci37359128"
"141"	-122.793	38.8347	2.35	0.19	"nc72428456"
"142"	-147.307	65.0025	3.3	1.5	"ak11549662"
"143"	-122.796	38.8352	2.69	1.34	"nc72428451"
"144"	-155.386	19.2873	3.1	1.2	"hv60890021"
"145"	-114.976	37.3671	0	1.23	"nn00487737"
"146"	-122.893	38.7937	4.74	0.75	"nc72428441"
"147"	-121.678	37.3068	6.58	1.52	"nc72428436"
"148"	-75.2967	44.0747	14.42	1.81	"ld60089306"
"149"	-122.817	38.8098	3.45	0.43	"nc72428411"
"150"	-97.414	35.8209	4.727	2.7	"us2000250n"
"151"	-120.029	39.3573	5.3734	1.31	"nn00489682"
"152"	-121.978	37.7888	9.45	1.43	"nc72428391"
"153"	-120.362	36.2185	9.22	1.36	"nc72428381"
"154"	-116.416	33.4798	11.68	0.4	"ci37359112"
"155"	-122.188	46.1498	3.29	0.53	"uw60995681"
"156"	-122.73	38.7792	1.32	1.75	"nc72428351"
"157"	-116.753	33.7135	18.8	1.31	"ci37359096"
"158"	-122.771	38.7858	2.51	0.83	"nc72428346"
"159"	-122.819	38.8167	3.12	1.89	"nc72428341"
"160"	-122.823	38.8135	2.57	1.97	"nc72428336"
"161"	-149.011	64.9597	0.1	1.1	"ak11549037"
"162"	-155.246	19.3923	2.7	2.5	"hv60889991"
"163"	-155.492	19.948	34.4	2	"hv60883036"
"164"	-116.42	33.4838	11.85	0.57	"ci37359088"
"165"	-147.239	61.4208	20.2	2.3	"ak11548584"
"166"	-117.747	35.8412	8.29	0.7	"ci37359080"
"167"	-118.856	38.0843	6.06	1.66	"nc72428331"
"168"	-115.625	36.7498	0	0.95	"nn00489671"
"169"	-120.403	36.2375	10.49	1.12	"nc72428326"
"170"	-116.81	34.1523	5.86	1.57	"ci37359072"
"171"	-115.617	36.7493	0	1.16	"nn00489668"
"172"	-116.424	33.4835	10.97	1.3	"ci37359064"
"173"	-116.418	33.4843	10.61	0.72	"ci37359056"
"174"	-116.043	33.2042	4.33	1.06	"ci37359048"
"175"	-120.983	36.0555	6.21	1.21	"nc72428321"
"176"	-116.575	33.4717	8.32	0.05	"ci37359040"
"177"	-116.572	33.4695	9.1	0.51	"ci37359032"
"178"	-122.828	38.8148	3.1	1.13	"nc72428311"
"179"	-119.913	39.3335	10.5901	0.36	"nn00489674"
"180"	-150.459	61.5629	58.4	1.4	"ak11549032"
"181"	-117.192	33.9832	15.54	1	"ci37359024"
"182"	-147.352	62.2767	43.2	1.9	"ak11549025"
"183"	-122.789	38.851	0.04	1.13	"nc72428296"
"184"	-120.943	46.9985	5.95	2.2	"uw60995606"
"185"	-117.197	33.99	16.8	0.68	"ci37359016"
"186"	-122.864	47.547	22.43	0.21	"uw60995601"
"187"	-155.631	19.417	2.6	2	"hv60889951"
"188"	-116.743	33.6902	17.31	0.34	"ci37359008"
"189"	-117.22	33.9663	14.81	0.97	"ci37359000"
"190"	-116.783	33.5283	11.11	2.35	"ci37358992"
"191"	-151.347	62.2338	69.3	1.5	"ak11548999"
"192"	-116.368	33.4115	12.26	0.97	"ci37358984"
"193"	-116.729	36.9961	7.9295	0.9	"nn00489664"
"194"	-149.002	63.4837	8.6	0.9	"ak11548996"
"195"	-150.314	63.3853	15.2	1.3	"ak11548995"
"196"	-120.034	39.3567	4.7992	0.16	"nn00489663"
"197"	-120.029	39.3569	5.1084	0.51	"nn00489673"
"198"	-149	65.1247	17.1	1	"ak11549661"
"199"	-150.538	63.1996	102.7	1.5	"ak11548993"
"200"	-120.026	39.3522	4.3889	0.18	"nn00489670"
"201"	-117.732	36.0168	0	0.27	"ci37358968"
"202"	-112.037	41.6893	14.57	0.66	"uu60106747"
"203"	-118.837	38.0863	10.12	2.48	"nc72428286"
"204"	-149.24	62.2683	45.5	2	"ak11534124"
