objectid,name,code,num,age,acode,sliprate,slipcode,slipsense,dipdirecti,slipdirect,fcode,ftype,mappedscal,secondarys,slipsense_,fault_id,section_id,azimuth,cooperator,length,CFM_URL,FACODE,URL_OLD
4464,"West Valley fault zone, Taylorsville fault",124,2386a,"<15,000",2,<0.2,4,N,East,,1,Well constrained,250,,1,2386,a,356,Utah Geological Survey,24.70102627000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=2386&section_id=a,12,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=2386a
4465,West Wylie fault,154,919,"<1,600,000",5,<0.2,4,N,West,,1,Well constrained,250,,1,919,,140,"Bureau of Economic Geology, The University of Texas at Austin",1.51695245000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=919&section_id=,15,
4466,West Wylie fault,254,919,"<1,600,000",5,<0.2,4,N,West,,2,Moderately constrained,250,,1,919,,342,"Bureau of Economic Geology, The University of Texas at Austin",1.79046471000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=919&section_id=,25,
4467,Eminence fault zone,154,992,"<1,600,000",5,<0.2,4,N,Southeast,,1,Well constrained,250,,1,992,,205,Arizona Geological Survey,11.45415261000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=992&section_id=,15,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=992
4468,Eminence fault zone,154,992,"<1,600,000",5,<0.2,4,N,Southeast,,1,Well constrained,250,,1,992,,216,Arizona Geological Survey,10.20412559000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=992&section_id=,15,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=992
4469,West Wyile fault,354,919,"<1,600,000",5,<0.2,4,N,West,,3,Inferred,250,,1,919,,324,"Bureau of Economic Geology, The University of Texas at Austin",16.19149775000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=919&section_id=,35,
4470,West Wylie fault,354,919,"<1,600,000",5,<0.2,4,N,West,,3,Inferred,250,,1,919,,182,"Bureau of Economic Geology, The University of Texas at Austin",1.95152140000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=919&section_id=,35,
4471,West-Side Chase Gulch fault,134,2316,"<130,000",3,<0.2,4,R,Northeast,,1,Well constrained,250,,2,2316,,148,Colorado Geological Survey,3.41091655000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=2316&section_id=,13,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=2316
4472,western Bear Lake fault,354,622,"<1,600,000",5,<0.2,4,N,Northeast,,3,Inferred,250,,1,622,,325,U.S. Geological Survey,24.60686071000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=622&section_id=,35,
4473,Western Bear Valley faults,254,735,"<1,600,000",5,<0.2,4,N,East,,2,Moderately constrained,250,,1,735,,31,"GEO-HAZ Consulting, Inc.",6.89988802000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=735&section_id=,25,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=735
4474,Western Bull Run Mountains fault,154,1550,"<1,600,000",5,<0.2,4,N,West,,1,Well constrained,250,,1,1550,,10,"Piedmont Geosciences, Inc.",42.64502675000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=1550&section_id=,15,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=1550
4480,Western Granite Range fault,153,1610,"<1,600,000",5,0.2-1,3,N,West,,1,Well constrained,250,,1,1610,,327,"Piedmont Geosciences, Inc.",28.17098737000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=1610&section_id=,15,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=1610
4481,Western Hot Springs Range fault zone,134,1513,"<130,000",3,<0.2,4,N,West,,1,Well constrained,250,,1,1513,,351,"Piedmont Geosciences, Inc.",2.55957054000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=1513&section_id=,13,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=1513
4482,Wheeler Peak fault zone,154,1430,"<1,600,000",5,<0.2,4,N,West,,1,Well constrained,250,,1,1430,,355,"Piedmont Geosciences, Inc.",5.06449759000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=1430&section_id=,15,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=1430
